#==================================================
#    Mayadas-Shatzkes Resistivity Calculation
#==================================================
# PARAMETERS
# Option of calculation :  1
# Option of error bar   :  2
# Constant error bar    :      2.00000E-02
#==================================================
# 1- 0 : Debye temperature (K) :                       2.15000E+02
# Limits :     1.95000E+02    2.30000E+02   F   F
#==================================================
# 2- 0 : Residual resistivity (microOhm.cm) :          2.11000E+00
# Limits :     2.00000E+00    1.00000E-02   F   F
#==================================================
# 3- 0 : R - Grain boundary scattering parameter :     3.90000E-01
# Limits :     5.00000E-02    1.50000E-01   F   F
#==================================================
# 4- 0 : p - Interface scattering parameter :          1.00000E+00
# Limits :     7.00000E-01    9.00000E-01   F   F
#==================================================
# 5- 0 : Film thickness (nm) :                         1.00000E+01
# Limits :     4.00000E+00    6.00000E+00   F   F
#==================================================
# 6- 0 : Grain size (nm) :                             1.00000E+01
# Limits :     3.00000E+00    7.00000E+00   F   F
#=======================================================================================
# Reliance factors
# Chi2      :       1.85530E+03
# RBragg    :       5.79284E-02
# RBraggexp :       1.97476E-03
# Goodness  :       2.93344E+01
#=======================================================================================
#                   Temperature      Experimental_Resistivity  Sig_Experimental_Resistivity       Theoretical_Resistivity
               0.3228249054E+03              0.1106721600E+02              0.2000000000E-01              0.1103171405E+02
               0.3218677979E+03              0.1105596826E+02              0.2000000000E-01              0.1102672154E+02
               0.3208444061E+03              0.1104415739E+02              0.2000000000E-01              0.1102138242E+02
               0.3198257446E+03              0.1082262272E+02              0.2000000000E-01              0.1101606712E+02
               0.3188386078E+03              0.1102103119E+02              0.2000000000E-01              0.1101091547E+02
               0.3178657532E+03              0.1100965798E+02              0.2000000000E-01              0.1100583755E+02
               0.3168297882E+03              0.1099759602E+02              0.2000000000E-01              0.1100042932E+02
               0.3158677521E+03              0.1098670230E+02              0.2000000000E-01              0.1099540620E+02
               0.3148305969E+03              0.1097453746E+02              0.2000000000E-01              0.1098998997E+02
               0.3138174591E+03              0.1096280710E+02              0.2000000000E-01              0.1098469824E+02
               0.3128466492E+03              0.1095152069E+02              0.2000000000E-01              0.1097962674E+02
               0.3118442993E+03              0.1093962612E+02              0.2000000000E-01              0.1097438960E+02
               0.3108290100E+03              0.1092791492E+02              0.2000000000E-01              0.1096908393E+02
               0.3098350525E+03              0.1091649023E+02              0.2000000000E-01              0.1096388884E+02
               0.3088559570E+03              0.1090545167E+02              0.2000000000E-01              0.1095877054E+02
               0.3078650360E+03              0.1089392402E+02              0.2000000000E-01              0.1095358952E+02
               0.3068542480E+03              0.1088242522E+02              0.2000000000E-01              0.1094830369E+02
               0.3058627014E+03              0.1087095741E+02              0.2000000000E-01              0.1094311755E+02
               0.3048431091E+03              0.1085893407E+02              0.2000000000E-01              0.1093778376E+02
               0.3038450470E+03              0.1084760925E+02              0.2000000000E-01              0.1093256164E+02
               0.3028388062E+03              0.1083555999E+02              0.2000000000E-01              0.1092729576E+02
               0.3018285065E+03              0.1082388749E+02              0.2000000000E-01              0.1092200766E+02
               0.3008712006E+03              0.1081311293E+02              0.2000000000E-01              0.1091699602E+02
               0.2998693542E+03              0.1080108003E+02              0.2000000000E-01              0.1091175024E+02
               0.2997450104E+03              0.1079880797E+02              0.2000000000E-01              0.1091109909E+02
               0.2997956543E+03              0.1079627191E+02              0.2000000000E-01              0.1091136430E+02
               0.2999660034E+03              0.1079507807E+02              0.2000000000E-01              0.1091225635E+02
               0.3000636902E+03              0.1079550599E+02              0.2000000000E-01              0.1091276788E+02
               0.3000534973E+03              0.1079673215E+02              0.2000000000E-01              0.1091271451E+02
               0.2999946442E+03              0.1079636527E+02              0.2000000000E-01              0.1091240633E+02
               0.2999532013E+03              0.1079635884E+02              0.2000000000E-01              0.1091218931E+02
               0.2999595490E+03              0.1079595333E+02              0.2000000000E-01              0.1091222255E+02
               0.2999872589E+03              0.1079537405E+02              0.2000000000E-01              0.1091236766E+02
               0.3000039978E+03              0.1079545773E+02              0.2000000000E-01              0.1091245531E+02
               0.3000006561E+03              0.1079589864E+02              0.2000000000E-01              0.1091243781E+02
               0.2999908447E+03              0.1079525180E+02              0.2000000000E-01              0.1091238643E+02
               0.2999900513E+03              0.1079538687E+02              0.2000000000E-01              0.1091238228E+02
               0.2999901886E+03              0.1079532587E+02              0.2000000000E-01              0.1091238300E+02
               0.2999953918E+03              0.1079543530E+02              0.2000000000E-01              0.1091241024E+02
               0.2999978027E+03              0.1079508120E+02              0.2000000000E-01              0.1091242287E+02
               0.3000011597E+03              0.1079516483E+02              0.2000000000E-01              0.1091244045E+02
               0.2999973450E+03              0.1079537719E+02              0.2000000000E-01              0.1091242047E+02
               0.2999923096E+03              0.1079530642E+02              0.2000000000E-01              0.1091239410E+02
               0.2999918518E+03              0.1079503611E+02              0.2000000000E-01              0.1091239171E+02
               0.2999973602E+03              0.1079505226E+02              0.2000000000E-01              0.1091242055E+02
               0.2999983063E+03              0.1079509402E+02              0.2000000000E-01              0.1091242550E+02
               0.2999990540E+03              0.1079477553E+02              0.2000000000E-01              0.1091242942E+02
               0.2999987946E+03              0.1079474000E+02              0.2000000000E-01              0.1091242806E+02
               0.2999954987E+03              0.1079484296E+02              0.2000000000E-01              0.1091241080E+02
               0.2999964600E+03              0.1079464351E+02              0.2000000000E-01              0.1091241584E+02
               0.2999972382E+03              0.1079487194E+02              0.2000000000E-01              0.1091241991E+02
               0.2999977570E+03              0.1079469816E+02              0.2000000000E-01              0.1091242263E+02
               0.3000000916E+03              0.1079464994E+02              0.2000000000E-01              0.1091243485E+02
